date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,return
2016-01-25 00:00:00+00:00,57.71,59.38,57.61,59.36,13554262,46.8690235249,48.2253095982,46.78780879,48.2090666512,13554262,0.0,1.0,-0.0246746662160493
2016-01-26 00:00:00+00:00,58.61,58.865,57.8,57.92,8898100,47.5999561393,47.8070537133,46.9421167864,47.0395744683,8898100,0.0,1.0,0.0155952174683493
2016-01-27 00:00:00+00:00,57.63,58.96,57.255,58.87,12491252,46.804051737,47.8842077115,46.499496481,47.8111144501,12491252,0.0,1.0,-0.0167206961277611
2016-01-28 00:00:00+00:00,59.285,59.42,58.0,58.29,11832368,48.1481556,48.2577954921,47.1045462562,47.3400689875,11832368,0.0,1.0,0.0287176817629539
2016-01-29 00:00:00+00:00,60.77,60.88,59.64,59.78,13224438,49.3541944136,49.443530622,48.436467909,48.5501685379,13224438,0.0,1.0,0.0250484945595714
2016-02-01 00:00:00+00:00,61.4,61.785,60.27,60.66,9529094,49.8658472436,50.1785239731,48.948120739,49.2648582052,9529094,0.0,1.0,0.0103669573797968
2016-02-02 00:00:00+00:00,60.695,60.9,60.18,60.66,9407352,49.4557128323,49.6227516515,49.0360787255,49.4271940095,9407352,0.2,1.0,-0.0082247556989546
2016-02-03 00:00:00+00:00,59.53,61.13,58.5,60.88,12254460,48.5064434452,49.8101610584,47.6671752317,49.6064551813,12254460,0.0,1.0,-0.0191943323174592
2016-02-04 00:00:00+00:00,58.29,59.4487,57.99,59.41,13944926,47.496062295,48.440198294,47.2516152425,48.4086646242,13944926,0.0,1.0,-0.0208298336970731
2016-02-05 00:00:00+00:00,54.49,58.2,54.25,58.1,24529008,44.3997329637,47.4227281792,44.2041753217,47.3412458284,24529008,0.0,1.0,-0.0651912849547099
2016-02-08 00:00:00+00:00,54.14,54.47,52.63,53.09,21457492,44.1145447358,44.3834364935,42.8841612384,43.2589800522,21457492,0.0,1.0,-0.0064231969172688
2016-02-09 00:00:00+00:00,54.42,55.2886,53.17,53.19,11605059,44.3426953181,45.0504510174,43.3241659328,43.340462403,11605059,0.0,1.0,0.0051717768746426
2016-02-10 00:00:00+00:00,55.14,56.35,55.01,55.28,11663942,44.929368244,45.915304689,44.823441188,45.0434435352,11663942,0.0,1.0,0.0132304299883307
2016-02-11 00:00:00+00:00,54.92,55.39,53.55,53.89,12106062,44.7501070722,45.1330741211,43.6337988659,43.9108388587,12106062,0.0,1.0,-0.003989844033116
2016-02-12 00:00:00+00:00,55.86,56.04,55.04,55.56,8680205,45.51604117,45.6627094014,44.8478858932,45.2715941175,8680205,0.0,1.0,0.0171158048083379
2016-02-16 00:00:00+00:00,56.41,56.85,55.98,56.79,11594766,45.9641940995,46.3227164431,45.613819991,46.2738270326,11594766,0.0,1.0,0.0098460436799889
2016-02-17 00:00:00+00:00,57.63,57.66,56.16,56.7,11955188,46.9582787795,46.9827234848,45.7604882224,46.2004929169,11955188,0.0,1.0,0.0216273710325058
2016-02-18 00:00:00+00:00,56.96,57.57,56.67,57.57,8493953,46.412347029,46.909389369,46.1760482116,46.909389369,8493953,0.0,1.0,-0.0116258892934194
2016-02-19 00:00:00+00:00,57.67,57.86,56.52,56.92,9033620,46.9908717199,47.1456881864,46.0538246854,46.3797540887,9033620,0.0,1.0,0.0124648876416122
2016-02-22 00:00:00+00:00,58.87,58.95,58.17,58.63,8390689,47.9686599298,48.0338458104,47.398283474,47.7731022878,8390689,0.0,1.0,0.0208080457780892
2016-02-23 00:00:00+00:00,58.46,58.9,58.0,58.45,7064095,47.6345822914,47.993104635,47.2597634776,47.6264340563,7064095,0.0,1.0,-0.0069644980470353
2016-02-24 00:00:00+00:00,58.11,58.35,56.28,57.21,10780882,47.3493940635,47.5449517055,45.8582670434,46.6160529061,10780882,0.0,1.0,-0.0059869996582606
2016-02-25 00:00:00+00:00,58.75,58.75,58.0,58.46,6262127,47.8708811088,47.8708811088,47.2597634776,47.6345822914,6262127,0.0,1.0,0.0110135949068457
2016-02-26 00:00:00+00:00,58.34,59.21,57.92,59.0,7473374,47.5368034704,48.2456999226,47.1945775969,48.0745869858,7473374,0.0,1.0,-0.0069787234047501
2016-02-29 00:00:00+00:00,58.21,59.15,58.1,58.25,7645081,47.4308764143,48.1968105121,47.3412458284,47.4634693546,7645081,0.0,1.0,-0.0022283167644193
2016-03-01 00:00:00+00:00,60.04,60.2,58.5,58.77,9183562,48.9220034344,49.0523751957,47.6671752317,47.8871775789,9183562,0.0,1.0,0.0314378972691813
2016-03-02 00:00:00+00:00,59.56,60.0,58.83,59.83,8856392,48.5308881504,48.8894104941,47.9360669894,48.7508904977,8856392,0.0,1.0,-0.0079946702208228
2016-03-03 00:00:00+00:00,59.04,59.2,58.2,59.12,8262455,48.1071799262,48.2375516875,47.4227281792,48.1723658068,8262455,0.0,1.0,-0.0087306917377425
2016-03-04 00:00:00+00:00,58.7,59.19,58.23,59.14,8344773,47.8301399334,48.2294034524,47.4471728845,48.188662277,8344773,0.0,1.0,-0.0057588075880772
2016-03-07 00:00:00+00:00,58.0,58.67,57.31,58.44,9204624,47.2597634776,47.8056952281,46.6975352569,47.6182858212,9204624,0.0,1.0,-0.0119250425901785
2016-03-08 00:00:00+00:00,57.6,58.23,57.26,57.58,8032442,46.9338340743,47.4471728845,46.6567940815,46.9175376041,8032442,0.0,1.0,-0.0068965517242692
