date,adjClose,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Ret,ExcessRet
2016-02-03,48.5064434452,2016-02-03,0.0046,-0.0023,0.0045,0.0040999999999999,0.0036,0.0,-0.0191943323174592,-0.0191943323174592
2016-02-04,47.496062295,2016-02-04,0.0027,0.003,0.0034999999999999,0.0023,0.0014,0.0,-0.0208298336970731,-0.0208298336970731
2016-02-05,44.3997329637,2016-02-05,-0.0206,-0.0069999999999999,0.0163,0.0101,0.0139,0.0,-0.0651912849547099,-0.0651912849547099
2016-02-08,44.1145447358,2016-02-08,-0.0151,0.0015,0.0081999999999999,0.0169,0.0091,0.0,-0.0064231969172688,-0.0064231969172688
2016-02-09,44.3426953181,2016-02-09,-0.0008,-0.0055,-0.0029,-0.0003,0.0002,0.0,0.0051717768746426,0.0051717768746426
2016-02-10,44.929368244,2016-02-10,0.0001,-0.0021,-0.0055,-0.0029,-0.0078,0.0,0.0132304299883307,0.0132304299883307
2016-02-11,44.7501070722,2016-02-11,-0.0116999999999999,0.0028,-0.0147,0.0038,-0.0038,0.0,-0.003989844033116,-0.003989844033116
2016-02-12,45.51604117,2016-02-12,0.0197999999999999,-0.0025,0.0108,-0.004,0.0034999999999999,0.0,0.0171158048083379,0.0171158048083379
2016-02-16,45.9641940995,2016-02-16,0.0178,0.0051,-0.0052,-0.0002,-0.0028,0.0,0.0098460436799889,0.0098460436799889
2016-02-17,46.9582787795,2016-02-17,0.0174,-0.0014,-0.0065,-0.0039,-0.0046,0.0,0.0216273710325058,0.0216273710325058
2016-02-18,46.412347029,2016-02-18,-0.0051,-0.0002,0.0022,0.0039,0.0053,0.0,-0.0116258892934194,-0.0116258892934194
2016-02-19,46.9908717199,2016-02-19,0.0006,0.0029,-0.0058,-0.0065,-0.0039,0.0,0.0124648876416122,0.0124648876416122
2016-02-22,47.9686599298,2016-02-22,0.0143,-0.0019,0.0026,0.0025,-0.0025,0.0,0.0208080457780892,0.0208080457780892
2016-02-23,47.6345822914,2016-02-23,-0.0121,0.0037,-0.005,0.0076,0.0046,0.0,-0.0069644980470353,-0.0069644980470353
2016-02-24,47.3493940635,2016-02-24,0.0054,0.0065,-0.0029,-0.0003,0.001,0.0,-0.0059869996582606,-0.0059869996582606
2016-02-25,47.8708811088,2016-02-25,0.011,-0.0045,0.0022,-0.0006,-0.0025,0.0,0.0110135949068457,0.0110135949068457
